Exercise,Calories Burn,Weight,Age,Gender,Duration,BMI
Running,860.3437499999999,95.0,58,Male,45,39.23777929038269
Squats,101.64,52.8,32,Male,22,19.370452942089315
Lunges,291.04949999999997,52.3,60,Female,53,20.68747280566433
Skipping,614.4096000000001,89.2,37,Male,32,27.37854988835261
High Knees,578.96475,99.8,28,Female,39,38.074731006603564
Cycling,316.575,80.4,30,Male,30,30.37252812386553
High Knees,98.294,82.6,38,Male,8,28.314201251583665
Burpees,254.485,66.1,57,Female,22,18.902456461437268
Burpees,170.275,97.3,55,Female,10,36.98376667310304
Running,125.09700000000001,77.7,39,Male,8,28.713703679751667
Skipping,157.90740000000002,52.4,44,Male,14,21.952011394937212
Push-ups,405.13200000000006,68.9,50,Female,42,25.80566870764911
Sit-ups,350.2800000000001,55.6,46,Male,60,17.908655549557377
High Knees,441.49,53.0,24,Female,56,18.935814377570846
Swimming,458.591,95.5,35,Female,28,38.400774609970775
High Knees,225.05875,89.0,26,Female,17,33.17127859252401
Cycling,399.6825,66.2,18,Male,46,19.8109639021494
Jumping Jacks,211.68,63.0,48,Male,24,25.332448172022602
Swimming,528.0142000000001,71.6,50,Female,43,25.98345187980839
Running,391.02875,67.0,34,Male,29,21.33768834490877
Burpees,85.89,81.8,50,Female,6,25.87556195520554
Push-ups,560.9519999999999,75.6,54,Male,53,32.29527104959631
Cycling,657.6018750000001,87.9,56,Female,57,38.5509407482128
Sit-ups,345.534,86.6,36,Male,38,34.99938771279
Lunges,552.6044999999999,99.3,27,Female,53,42.97957063711911
High Knees,589.1392500000001,86.1,44,Female,46,26.079141865988348
Jumping Jacks,399.532,75.1,56,Male,38,21.046312817708944
Swimming,515.8891500000001,81.3,32,Male,37,32.158538032514535
Burpees,469.455,78.9,25,Male,34,24.35185185185185
Burpees,438.16499999999996,64.2,44,Female,39,19.488650593083353
Squats,97.37,85.6,32,Male,13,27.230542489030636
Burpees,430.6575,63.1,53,Male,39,19.759695794629437
High Knees,646.19975,74.9,48,Female,58,21.649901722742513
Jumping Jacks,494.1720000000001,95.4,53,Female,37,29.74111203701366
Push-ups,364.6720000000001,70.4,41,Male,37,21.996418708079087
Running,1062.761,94.3,58,Female,56,27.732553488831687
High Knees,542.64,76.0,27,Male,48,23.825975078030066
High Knees,457.13849999999996,78.8,54,Male,39,29.477503764179968
Jumping Jacks,490.4619999999999,66.1,36,Male,53,22.578830348270774
